id,conduit_type,trade_size,area,inner_diameter
150,PVC TYPE A,2,3.647,2.155
151,PVC TYPE A,2 1/2,5.453,2.635
152,PVC TYPE A,3,8.194,3.23
153,PVC TYPE A,3 1/2,10.694,3.69
154,PVC TYPE A,4,13.723,4.18
155,PVC TYPE A,5,0,0
156,PVC TYPE A,6,0,0
157,PVC TYPE EB,3/8,0,0
158,PVC TYPE EB,1/2,0,0
159,PVC TYPE EB,3/4,0,0
160,PVC TYPE EB,1,0,0
161,PVC TYPE EB,1 1/4,0,0
162,PVC TYPE EB,1 1/2,0,0
163,PVC TYPE EB,2,3.874,2.221
164,PVC TYPE EB,2 1/2,0,0
165,PVC TYPE EB,3,8.709,3.33
166,PVC TYPE EB,3 1/2,11.365,3.804
167,PVC TYPE EB,4,14.448,4.289
168,PVC TYPE EB,5,22.195,5.316
169,PVC TYPE EB,6,31.53,6.336
