id,conductor_type,conductor_size,area,diameter
81,"XHHW, ZW, XHHW-2, XHH",600 KCMIL,0.8709,1.053
82,"XHHW, ZW, XHHW-2, XHH",700 KCMIL,0.9923,1.124
83,"XHHW, ZW, XHHW-2, XHH",750 KCMIL,1.0532,1.158
84,"XHHW, ZW, XHHW-2, XHH",800 KCMIL,1.1122,1.19
85,"XHHW, ZW, XHHW-2, XHH",900 KCMIL,1.2351,1.254
86,"XHHW, ZW, XHHW-2, XHH",1000 KCMIL,1.3519,1.312
87,"XHHW, ZW, XHHW-2, XHH",1250 KCMIL,1.718,1.479
88,"XHHW, ZW, XHHW-2, XHH",1500 KCMIL,2.0156,1.602
89,"XHHW, ZW, XHHW-2, XHH",1750 KCMIL,2.3127,1.716
90,"XHHW, ZW, XHHW-2, XHH",2000 KCMIL,2.6073,1.822
91,"TW, THW, THHW, THW-2",18 AWG,0,0
92,"TW, THW, THHW, THW-2",16 AWG,0,0
93,"TW, THW, THHW, THW-2",14 AWG,0,0
94,"TW, THW, THHW, THW-2",12 AWG,0,0
95,"TW, THW, THHW, THW-2",10 AWG,0,0
96,"TW, THW, THHW, THW-2",8 AWG,0,0
97,"TW, THW, THHW, THW-2",6 AWG,0.0726,0.111
98,"TW, THW, THHW, THW-2",4 AWG,0.0973,0.13
99,"TW, THW, THHW, THW-2",3 AWG,0.1134,0.164
100,"TW, THW, THHW, THW-2",2 AWG,0.1333,0.216
101,"TW, THW, THHW, THW-2",1 AWG,0.1901,0.254
102,"TW, THW, THHW, THW-2",1/0 KCMIL,0.2223,0.324
103,"TW, THW, THHW, THW-2",2/0  KCMIL,0.2624,0.352
104,"TW, THW, THHW, THW-2",3/0 KCMIL,0.3117,0.384
105,"TW, THW, THHW, THW-2",4/0 KCMIL,0.3718,0.446
106,"TW, THW, THHW, THW-2",250 KCMIL,0.4596,0.486
107,"TW, THW, THHW, THW-2",300 KCMIL,0.5281,0.532
108,"TW, THW, THHW, THW-2",350 KCMIL,0.5958,0.584
109,"TW, THW, THHW, THW-2",400 KCMIL,0.6619,0.642
110,"TW, THW, THHW, THW-2",500 KCMIL,0.7901,0.711
111,"TW, THW, THHW, THW-2",600 KCMIL,0.9729,0.766
112,"TW, THW, THHW, THW-2",700 KCMIL,1.101,0.817
113,"TW, THW, THHW, THW-2",750 KCMIL,1.1652,0.864
114,"TW, THW, THHW, THW-2",800 KCMIL,1.2272,0.949
115,"TW, THW, THHW, THW-2",900 KCMIL,1.3561,1.051
116,"TW, THW, THHW, THW-2",1000 KCMIL,1.4784,1.122
117,"TW, THW, THHW, THW-2",1250 KCMIL,1.8602,1.156
118,"TW, THW, THHW, THW-2",1500 KCMIL,2.1695,1.188
119,"TW, THW, THHW, THW-2",1750 KCMIL,2.4773,1.252
120,"TW, THW, THHW, THW-2",2000 KCMIL,2.7818,1.31
